#Version	Since	List	Item
2.2.3	1.1.0	AccessRights	Open
2.2.3	1.1.0	AccessRights	Restricted
2.2.3	1.3.4	AnnotationType	Anomaly
2.2.3	1.3.4	AnnotationType	Event
2.2.3	1.3.4	AnnotationType	Feature
2.2.3	1.3.6	AssociationType	ChildEventOf
2.2.3	1.3.3	AssociationType	DerivedFrom
2.2.3	1.3.6	AssociationType	ObservedBy
2.2.3	1.3.3	AssociationType	Other
2.2.3	1.3.3	AssociationType	PartOf
2.2.3	1.3.3	AssociationType	RevisionOf
2.2.3	1.1.0	Availability	Offline
2.2.3	1.1.0	Availability	Online
2.2.3	1.3.6	ClassificationMethod	Automatic
2.2.3	1.3.6	ClassificationMethod	Inferred
2.2.3	1.3.6	ClassificationMethod	Inspection
2.2.3	1.3.4	Component	I
2.2.3	1.3.4	Component	J
2.2.3	1.3.4	Component	K
2.2.3	1.3.4	ConfidenceRating	Probable
2.2.3	1.3.4	ConfidenceRating	Strong
2.2.3	1.3.6	ConfidenceRating	Unlikely
2.2.3	1.3.6	ConfidenceRating	Weak
2.2.3	1.1.0	CoordinateRepresentation	Cartesian
2.2.3	1.1.0	CoordinateRepresentation	Cylindrical
2.2.3	1.1.0	CoordinateRepresentation	Spherical
2.2.3	1.1.0	CoordinateSystemName	CGM
2.2.3	1.2.1	CoordinateSystemName	Carrington
2.2.3	1.1.0	CoordinateSystemName	DM
2.2.3	2.2.3	CoordinateSystemName	ECEF
2.2.3	2.2.3	CoordinateSystemName	ENP
2.2.3	1.1.0	CoordinateSystemName	GEI
2.2.3	1.1.0	CoordinateSystemName	GEO
2.2.3	1.1.0	CoordinateSystemName	GSE
2.2.3	1.1.0	CoordinateSystemName	GSEQ
2.2.3	1.1.0	CoordinateSystemName	GSM
2.2.3	1.1.0	CoordinateSystemName	HAE
2.2.3	2.2.0	CoordinateSystemName	HCC
2.2.3	1.2.1	CoordinateSystemName	HCI
2.2.3	2.2.0	CoordinateSystemName	HCR
2.2.3	1.1.0	CoordinateSystemName	HEE
2.2.3	1.1.0	CoordinateSystemName	HEEQ
2.2.3	1.1.0	CoordinateSystemName	HG
2.2.3	1.1.0	CoordinateSystemName	HGI
2.2.3	2.2.0	CoordinateSystemName	HPC
2.2.3	2.2.0	CoordinateSystemName	HPR
2.2.3	1.1.0	CoordinateSystemName	J2000
2.2.3	1.1.0	CoordinateSystemName	LGM
2.2.3	1.1.0	CoordinateSystemName	MAG
2.2.3	1.1.0	CoordinateSystemName	MFA
2.2.3	1.1.0	CoordinateSystemName	RTN
2.2.3	1.1.0	CoordinateSystemName	SC
