<<<<<<< HEAD
#Version	Since	Object	Element	Reference	Occurrence	Group
2.3.0	1.1.0	AccessInformation	RepositoryID	01	1	
2.3.0	1.1.0	AccessInformation	Availability	02	0	
2.3.0	1.1.0	AccessInformation	AccessRights	03	0	
2.3.0	1.1.0	AccessInformation	AccessURL	04	+	
2.3.0	1.1.0	AccessInformation	Format	05	1	
2.3.0	1.1.0	AccessInformation	Encoding	06	0	
2.3.0	1.2.0	AccessInformation	DataExtent	07	0	
2.3.0	1.1.0	AccessInformation	Acknowledgement	08	0	
2.3.0	1.1.0	AccessURL	Name	01	0	
2.3.0	1.1.0	AccessURL	URL	02	1	
2.3.0	2.2.2	AccessURL	ProductKey	03	*	
2.3.0	1.1.0	AccessURL	Description	04	0	
2.3.0	1.3.0	AccessURL	Language	05	0	
2.3.0	1.3.4	Annotation	ResourceID	01	1	
2.3.0	1.3.4	Annotation	ResourceHeader	02	1	
2.3.0	1.3.4	Annotation	ImageURL	03	0	
2.3.0	1.3.4	Annotation	AnnotationType	04	1	
2.3.0	1.3.4	Annotation	PhenomenonType	05	0	
2.3.0	1.3.4	Annotation	ClassificationMethod	06	0	
2.3.0	1.3.4	Annotation	ConfidenceRating	07	0	
2.3.0	1.3.4	Annotation	TimeSpan	08	*	
2.3.0	1.3.4	Annotation	ObservationExtent	09	*	
2.3.0	1.3.4	Annotation	Extension	10	*	
2.3.0	1.3.3	Association	AssociationID	01	1	
2.3.0	1.3.3	Association	AssociationType	02	1	
2.3.0	1.3.3	Association	Note	03	0	
2.3.0	1.1.0	AzimuthalAngleRange	Low	01	1	
2.3.0	1.1.0	AzimuthalAngleRange	High	02	1	
2.3.0	1.1.0	AzimuthalAngleRange	Units	03	1	
2.3.0	1.1.0	AzimuthalAngleRange	Bin	04	*	
2.3.0	1.3.0	Bin	BandName	01	0	
2.3.0	1.1.0	Bin	Low	02	1	
2.3.0	1.1.0	Bin	High	03	1	
2.3.0	2.3.0	Boundary	Caveats	01	0	
2.3.0	2.3.0	Boundary	FrontWall	02	0	
2.3.0	2.3.0	Boundary	BackWall	03	0	
2.3.0	2.3.0	Boundary	SideWall	04	0	
2.3.0	2.3.0	Boundary	Obstacle	05	0	
2.3.0	2.3.0	BoundaryConditions	ParticleBoundary	01	0	
2.3.0	2.3.0	BoundaryConditions	FieldBoundary	02	0	
2.3.0	1.1.0	Catalog	ResourceID	01	1	
2.3.0	1.1.0	Catalog	ResourceHeader	02	1	
2.3.0	1.1.0	Catalog	AccessInformation	03	+	
2.3.0	1.1.0	Catalog	ProviderResourceName	04	0	
2.3.0	1.1.0	Catalog	ProviderVersion	05	0	
2.3.0	1.1.0	Catalog	InstrumentID	06	*	
2.3.0	1.1.0	Catalog	PhenomenonType	07	+	
2.3.0	1.1.0	Catalog	TimeSpan	08	0	
2.3.0	1.1.0	Catalog	Caveats	09	0	
2.3.0	1.1.0	Catalog	Keyword	10	*	
2.3.0	1.1.0	Catalog	InputResourceID	11	*	
2.3.0	1.3.0	Catalog	Parameter	12	*	
2.3.0	1.3.0	Catalog	Extension	13	*	
2.3.0	1.2.0	Checksum	HashValue	01	1	
2.3.0	1.2.0	Checksum	HashFunction	02	1	
2.3.0	1.1.0	Contact	PersonID	01	1	
2.3.0	1.1.0	Contact	Role	02	+	
2.3.0	1.1.0	CoordinateSystem	CoordinateRepresentation	01	1	
2.3.0	1.1.0	CoordinateSystem	CoordinateSystemName	02	1	
2.3.0	1.3.0	DataExtent	Quantity	01	1	
2.3.0	1.2.0	DataExtent	Units	02	0	
2.3.0	1.2.0	DataExtent	Per	03	0	
2.3.0	2.3.0	DiagnosisTimeStep	SavedQuantity	01	*	
2.3.0	1.1.0	DisplayData	ResourceID	01	1	
2.3.0	1.1.0	DisplayData	ResourceHeader	02	1	
2.3.0	1.1.0	DisplayData	AccessInformation	03	+	
2.3.0	1.1.0	DisplayData	ProcessingLevel	04	0	
2.3.0	1.1.0	DisplayData	ProviderResourceName	05	0	
2.3.0	1.1.0	DisplayData	ProviderProcessingLevel	06	0	
2.3.0	1.1.0	DisplayData	ProviderVersion	07	0	
2.3.0	1.1.0	DisplayData	InstrumentID	08	*	
2.3.0	1.1.0	DisplayData	MeasurementType	09	+	
2.3.0	1.1.0	DisplayData	TemporalDescription	10	0	
2.3.0	1.1.0	DisplayData	SpectralRange	11	*	
2.3.0	1.1.0	DisplayData	DisplayCadence	12	0	
2.3.0	1.1.0	DisplayData	ObservedRegion	13	*	
2.3.0	1.1.0	DisplayData	Caveats	14	0	
2.3.0	1.1.0	DisplayData	Keyword	15	*	
2.3.0	1.1.0	DisplayData	InputResourceID	16	*	
2.3.0	1.3.0	DisplayData	Parameter	17	*	
2.3.0	1.3.0	DisplayData	Extension	18	*	
2.3.0	2.3.0	DisplayOutput	ResourceID	01	1	
2.3.0	2.3.0	DisplayOutput	ResourceHeader	02	1	
2.3.0	2.3.0	DisplayOutput	AccessInformation	03	+	
2.3.0	2.3.0	DisplayOutput	ProcessingLevel	04	0	
2.3.0	2.3.0	DisplayOutput	ProviderResourceName	05	0	
2.3.0	2.3.0	DisplayOutput	ProviderProcessingLevel	06	0	
2.3.0	2.3.0	DisplayOutput	ProviderVersion	07	0	
2.3.0	2.3.0	DisplayOutput	SimulatedInstrumentID	08	*	
2.3.0	2.3.0	DisplayOutput	MeasurementType	09	+	
2.3.0	2.3.0	DisplayOutput	TemporalDescription	10	0	Choice
2.3.0	2.3.0	DisplayOutput	SpatialDescription	11	0	Choice
2.3.0	2.3.0	DisplayOutput	SpectralRange	12	*	
2.3.0	2.3.0	DisplayOutput	DisplayCadence	13	0	
2.3.0	2.3.0	DisplayOutput	SimulatedRegion	14	*	
2.3.0	2.3.0	DisplayOutput	Caveats	15	0	
2.3.0	2.3.0	DisplayOutput	Keyword	16	*	
2.3.0	2.3.0	DisplayOutput	InputResourceID	17	*	
2.3.0	2.3.0	DisplayOutput	Parameter	18	*	
2.3.0	2.3.0	DisplayOutput	SimulationProduct	19	0	
2.3.0	2.3.0	DisplayOutput	Property	20	*	
2.3.0	2.3.0	DisplayOutput	Extension	21	0	
2.3.0	1.3.0	Document	ResourceID	01	1	
2.3.0	1.3.0	Document	ResourceHeader	02	1	
2.3.0	1.3.0	Document	AccessInformation	03	+	
2.3.0	1.3.0	Document	Keyword	04	*	
2.3.0	1.3.0	Document	DocumentType	05	1	
2.3.0	1.3.0	Document	MIMEType	06	1	
2.3.0	1.3.0	Document	InputResourceID	07	*	
2.3.0	1.2.0	Element	Name	01	1	
2.3.0	1.2.0	Element	Qualifier	02	*	
2.3.0	1.2.0	Element	Index	03	1	
2.3.0	1.2.0	Element	ParameterKey	04	0	
2.3.0	1.3.0	Element	Units	05	0	
2.3.0	1.3.0	Element	UnitsConversion	06	0	
2.3.0	1.3.0	Element	ValidMin	07	0	
2.3.0	1.3.0	Element	ValidMax	08	0	
2.3.0	1.3.0	Element	FillValue	09	0	
2.3.0	1.3.0	Element	RenderingHints	10	0	
2.3.0	1.1.0	EnergyRange	Low	01	1	
2.3.0	1.1.0	EnergyRange	High	02	1	
2.3.0	1.1.0	EnergyRange	Units	03	1	
2.3.0	1.1.0	EnergyRange	Bin	04	*	
2.3.0	1.3.1	Field	Qualifier	01	*	
2.3.0	1.1.0	Field	FieldQuantity	02	1	
2.3.0	1.1.0	Field	FrequencyRange	03	0	
2.3.0	1.3.0	FrequencyRange	SpectralRange	01	0	
2.3.0	1.1.0	FrequencyRange	Low	02	1	
2.3.0	1.1.0	FrequencyRange	High	03	1	
2.3.0	1.1.0	FrequencyRange	Units	04	1	
2.3.0	1.1.0	FrequencyRange	Bin	05	*	
2.3.0	1.1.0	Granule	ResourceID	01	1	
2.3.0	1.1.0	Granule	ReleaseDate	02	1	
2.3.0	1.2.0	Granule	ExpirationDate	03	0	
2.3.0	1.1.0	Granule	ParentID	04	1	
2.3.0	1.1.0	Granule	PriorID	05	*	
2.3.0	1.1.0	Granule	StartDate	06	1	StartChoice
2.3.0	2.3.0	Granule	RegionBegin	07	1	StartChoice
2.3.0	1.1.0	Granule	StopDate	08	1	StopChoice
