#Version	Since	Object	Element	Reference	Occurrence	Group	Type
1.0.0	1.0.0	BoundaryConditions	ParticleBoundary	01	0		
1.0.0	1.0.0	BoundaryConditions	FieldBoundary	02	0		
1.0.0	1.0.0	DiagnosisTimeStep	TimeStart	01	1		
1.0.0	1.0.0	DiagnosisTimeStep	Duration	02	1		
1.0.0	1.0.0	DiagnosisTimeStep	SavedQuantity	03	*		
1.0.0	1.0.0	DisplayOutput	ResourceID	01	1		base:ResourceID
1.0.0	1.0.0	DisplayOutput	ResourceHeader	02	1		base:ResourceHeader
1.0.0	1.0.0	DisplayOutput	AccessInformation	03	+		base:AccessInformation
1.0.0	1.0.0	DisplayOutput	ProcessingLevel	04	0		base:ProcessingLevel
1.0.0	1.0.0	DisplayOutput	ProviderResourceName	05	0		base:ProviderResourceName
1.0.0	1.0.0	DisplayOutput	ProviderProcessingLevel	06	0		base:ProviderProcessingLevel
1.0.0	1.0.0	DisplayOutput	ProviderVersion	07	0		base:ProviderVersion
1.0.0	1.0.0	DisplayOutput	SimulatedInstrumentID	08	*		
1.0.0	1.0.0	DisplayOutput	MeasurementType	09	+		base:MeasurementType
1.0.0	1.0.0	DisplayOutput	TemporalDescription	10	0	Choice	base:TemporalDescription
1.0.0	1.0.0	DisplayOutput	SpatialDescription	11	0	Choice	
1.0.0	1.0.0	DisplayOutput	SpectralRange	12	*		base:SpectralRange
1.0.0	1.0.0	DisplayOutput	DisplayCadence	13	0		base:DisplayCadence
1.0.0	1.0.0	DisplayOutput	SimulatedRegion	14	*		
1.0.0	1.0.0	DisplayOutput	Caveats	15	0		base:Caveats
1.0.0	1.0.0	DisplayOutput	Keyword	16	*		base:Keyword
1.0.0	1.0.0	DisplayOutput	InputResourceID	17	*		base:InputResourceID
1.0.0	1.0.0	DisplayOutput	Parameter	18	*		base:Parameter
1.0.0	1.0.0	DisplayOutput	SimulationProduct	19	0		
1.0.0	1.0.0	DisplayOutput	Property	20	*		
1.0.0	1.0.0	DisplayOutput	Extension	21	0		base:Extension
1.0.0	1.0.0	ElementBoundary	Caveats	01	0		base:Caveats
1.0.0	1.0.0	ElementBoundary	FrontWall	02	0		
1.0.0	1.0.0	ElementBoundary	BackWall	03	0		
1.0.0	1.0.0	ElementBoundary	SideWall	04	0		
1.0.0	1.0.0	ElementBoundary	Obstacle	05	0		
1.0.0	1.0.0	Granule	ResourceID	01	1		base:ResourceID
1.0.0	1.0.0	Granule	ReleaseDate	02	1		base:ReleaseDate
1.0.0	1.0.0	Granule	ExpirationDate	03	0		base:ExpirationDate
1.0.0	1.0.0	Granule	ParentID	04	1		base:ParentID
1.0.0	1.0.0	Granule	PriorID	05	*		base:PriorID
1.0.0	1.0.0	Granule	StartDate	06	1	StartEntity	base:StartDate
1.0.0	1.0.0	Granule	RegionBegin	07	1	StartEntity	
1.0.0	1.0.0	Granule	StopDate	08	1	StopEntity	base:StopDate
1.0.0	1.0.0	Granule	RegionEnd	09	1	StopEntity	
1.0.0	1.0.0	Granule	Source	10	+		base:Source
1.0.0	1.0.0	InputField	Name	01	1		base:Name
1.0.0	1.0.0	InputField	Set	02	*		base:Set
1.0.0	1.0.0	InputField	ParameterKey	03	0		base:ParameterKey
1.0.0	1.0.0	InputField	Description	04	0		base:Description
1.0.0	1.0.0	InputField	Caveats	05	0		base:Caveats
1.0.0	1.0.0	InputField	SimulatedRegion	06	*		
1.0.0	1.0.0	InputField	CoordinateSystem	07	0		base:CoordinateSystem
1.0.0	1.0.0	InputField	Qualifier	08	*		base:Qualifier
1.0.0	1.0.0	InputField	FieldQuantity	09	1		base:FieldQuantity
1.0.0	1.0.0	InputField	Units	10	0		base:Units
1.0.0	1.0.0	InputField	UnitsConversion	11	0		base:UnitsConversion
1.0.0	1.0.0	InputField	InputLabel	12	0		
1.0.0	1.0.0	InputField	FieldValue	13	0		
1.0.0	1.0.0	InputField	InputTableURL	14	0		
1.0.0	1.0.0	InputField	ValidMin	15	0		base:ValidMin
1.0.0	1.0.0	InputField	ValidMax	16	0		base:ValidMax
1.0.0	1.0.0	InputField	FieldModel	17	0		
1.0.0	1.0.0	InputField	ModelURL	18	0		
1.0.0	1.0.0	InputParameter	Name	01	1		base:Name
1.0.0	1.0.0	InputParameter	Description	02	0		base:Description
1.0.0	1.0.0	InputParameter	Caveats	03	0		base:Caveats
1.0.0	1.0.0	InputParameter	SimulatedRegion	04	*		>SpecificSimulatedRegion
1.0.0	1.0.0	InputParameter	Qualifier	05	*		base:Qualifier
1.0.0	1.0.0	InputParameter	InputTableURL	05	*		
1.0.0	1.0.0	InputParameter	ParameterQuantity	07	0		
1.0.0	1.0.0	InputParameter	Property	08	+		
1.0.0	1.0.0	InputPopulation	Name	01	1		base:Name
1.0.0	1.0.0	InputPopulation	Set	02	*		base:Set
1.0.0	1.0.0	InputPopulation	ParameterKey	03	0		base:ParameterKey
1.0.0	1.0.0	InputPopulation	Description	04	0		base:Description
1.0.0	1.0.0	InputPopulation	Caveats	05	0		base:Caveats
1.0.0	1.0.0	InputPopulation	SimulatedRegion	06	*		
1.0.0	1.0.0	InputPopulation	Qualifier	07	*		base:Qualifier
1.0.0	1.0.0	InputPopulation	ParticleType	08	0		base:ParticleType
1.0.0	1.0.0	InputPopulation	ChemicalFormula	09	0		
1.0.0	1.0.0	InputPopulation	AtomicNumber	10	0		base:AtomicNumber
1.0.0	1.0.0	InputPopulation	PopulationMassNumber	11	0		
1.0.0	1.0.0	InputPopulation	PopulationChargeState	12	0		
1.0.0	1.0.0	InputPopulation	PopulationDensity	13	0		
1.0.0	1.0.0	InputPopulation	PopulationTemperature	14	0		
1.0.0	1.0.0	InputPopulation	PopulationFlowSpeed	15	0		
1.0.0	1.0.0	InputPopulation	Distribution	16	0		
1.0.0	1.0.0	InputPopulation	ProductionRate	17	0		
1.0.0	1.0.0	InputPopulation	TotalProductionRate	18	0		
1.0.0	1.0.0	InputPopulation	InputTableURL	19	0		
1.0.0	1.0.0	InputPopulation	DensityProfile	20	0		
1.0.0	1.0.0	InputPopulation	ModelURL	21	0		
1.0.0	1.0.0	InputProcess	Name	01	1		base:Name
1.0.0	1.0.0	InputProcess	Set	02	*		base:Set
1.0.0	1.0.0	InputProcess	ParameterKey	03	0		base:ParameterKey
1.0.0	1.0.0	InputProcess	Description	04	0		base:Description
1.0.0	1.0.0	InputProcess	Caveats	05	0		base:Caveats
1.0.0	1.0.0	InputProcess	SimulatedRegion	06	*		
1.0.0	1.0.0	InputProcess	ProcessType	07	1		
1.0.0	1.0.0	InputProcess	Units	08	0		base:Units
1.0.0	1.0.0	InputProcess	UnitsConversion	09	0		base:UnitsConversion
1.0.0	1.0.0	InputProcess	ProcessCoefficient	10	0		
1.0.0	1.0.0	InputProcess	ProcessCoeffType	11	0		
1.0.0	1.0.0	InputProcess	ProcessModel	12	0		
1.0.0	1.0.0	InputProcess	ModelURL	13	0		
1.0.0	1.0.0	InputProperties	Property	01	*		
1.0.0	1.0.0	Model	ModelID	01	0		
1.0.0	1.0.0	Model	VersionTag	02	0		
1.0.0	1.0.0	ModelVersion	VersionTag	01	0		
1.0.0	1.0.0	ModelVersion	ReleaseDate	02	1		base:ReleaseDate
1.0.0	1.0.0	ModelVersion	Description	03	0		base:Description
1.0.0	1.0.0	ModelVersion	Caveats	04	0		base:Caveats
1.0.0	1.0.0	NumericalOutput	ResourceID	01	1		base:ResourceID
1.0.0	1.0.0	NumericalOutput	ResourceHeader	02	1		base:ResourceHeader
1.0.0	1.0.0	NumericalOutput	AccessInformation	03	+		base:AccessInformation
1.0.0	1.0.0	NumericalOutput	ProcessingLevel	04	0		base:ProcessingLevel
1.0.0	1.0.0	NumericalOutput	ProviderResourceName	05	0		base:ProviderResourceName
1.0.0	1.0.0	NumericalOutput	ProviderProcessingLevel	06	0		base:ProviderProcessingLevel
1.0.0	1.0.0	NumericalOutput	ProviderVersion	07	0		base:ProviderVersion
1.0.0	1.0.0	NumericalOutput	SimulatedInstrumentID	08	*		
1.0.0	1.0.0	NumericalOutput	MeasurementType	09	+		base:MeasurementType
1.0.0	1.0.0	NumericalOutput	TemporalDescription	10	0	Choice	base:TemporalDescription
1.0.0	1.0.0	NumericalOutput	SpatialDescription	11	0	Choice	
1.0.0	1.0.0	NumericalOutput	SpectralRange	12	*		base:SpectralRange
1.0.0	1.0.0	NumericalOutput	SimulatedRegion	13	*		
1.0.0	1.0.0	NumericalOutput	Caveats	14	0		base:Caveats
1.0.0	1.0.0	NumericalOutput	Keyword	15	*		base:Keyword
1.0.0	1.0.0	NumericalOutput	InputResourceID	16	*		base:InputResourceID
1.0.0	1.0.0	NumericalOutput	Parameter	17	*		base:Parameter
1.0.0	1.0.0	NumericalOutput	SimulationProduct	18	0		
1.0.0	1.0.0	NumericalOutput	Property	19	*		
1.0.0	1.0.0	NumericalOutput	Extension	20	0		base:Extension
1.0.0	1.0.0	OutputParameters	Parameter	01	*		base:Parameter
1.0.0	1.0.0	Particle	Population	01	0		
1.0.0	1.0.0	Particle	ParticleType	02	+		base:ParticleType
1.0.0	1.0.0	Particle	Qualifier	03	*		base:Qualifier
1.0.0	1.0.0	Particle	ParticleQuantity	04	1		base:ParticleQuantity
1.0.0	1.0.0	Particle	ChemicalFormula	05	0		
1.0.0	1.0.0	Particle	AtomicNumber	06	*		base:AtomicNumber
1.0.0	1.0.0	Particle	PopulationMassNumber	07	0		
1.0.0	1.0.0	Particle	PopulationChargeState	08	0		
1.0.0	1.0.0	Particle	EnergyRange	09	0		base:EnergyRange
1.0.0	1.0.0	Particle	AzimuthalAngleRange	10	0		base:AzimuthalAngleRange
1.0.0	1.0.0	Particle	PolarAngleRange	11	0		base:PolarAngleRange
1.0.0	1.0.0	Property	Name	01	0		base:Name
1.0.0	1.0.0	Property	Description	02	0		base:Description
1.0.0	1.0.0	Property	Caveats	03	0		base:Caveats
1.0.0	1.0.0	Property	PropertyQuantity	04	1		
1.0.0	1.0.0	Property	Qualifier	05	*		base:Qualifier
1.0.0	1.0.0	Property	Units	06	0		base:Units
